	PLAYER	2018/19 	2018/19(*)
500.	Angel Delgado	$77,250	$78,523
500.	Trevon Duval	$77,250	$78,523
500.	Vincent Edwards	$77,250	$78,523
500.	Marcus Derrickson	$77,250	$78,523
500.	Damion Lee	$77,250	$78,523
500.	Zach Lofton	$77,250	$78,523
500.	Keenan Evans	$77,250	$78,523
500.	Archie Goodwin	$77,250	$78,523
500.	DeVaughn Akoon-Purcell	$77,250	$78,523
500.	Thomas Welsh	$77,250	$78,523
500.	Daryl Macon	$77,250	$78,523
500.	Kostas Antetokounmpo	$77,250	$78,523
500.	Deng Adel	$77,250	$78,523
500.	Jalen Jones	$77,250	$78,523
500.	Jaron Blossomgame	$77,250	$78,523
500.	Billy Preston	$77,250	$78,523
500.	John Holland	$77,250	$78,523
500.	Brandon Sampson	$77,250	$78,523
500.	Tyler Ulis	$77,250	$78,523
500.	Rawle Alkins	$77,250	$78,523
500.	Joe Chealey	$77,250	$78,523
500.	JP Macura	$77,250	$78,523
500.	Alan Williams	$77,250	$78,523
500.	Theo Pinson	$77,250	$78,523
500.	RJ Hunter	$77,250	$78,523
500.	PJ Dozier	$77,250	$78,523
500.	Alex Poythress	$77,250	$78,523
555.	Scotty Hopson	$76,236	$77,492
555.	Charles Cooke	$76,236	$77,492
555.	Scott Machado	$76,236	$77,492
